UsageData,BillingAmount,CostPerUnit,IsShortContractedCust,HighUsageFlag,PaymentHistory,ContractType,Gender,BilltoIncomeRatio,is_churned,Age_25,Age_25-35,Age_35-50,Age_50-65,Age_65+,contract_Dr_0-6m,contract_Dr_6-12m,contract_Dr_12-18m,contract_Dr_18-24m,income_40k,income_40-60k,income_60-80k,income_80-100k,income_100k+,hh_bin_Small_(1-2),hh_bin_Medium_(3-5),hh_bin_Large_(6+),engage_Loyal,engage_At_Risk,engage_High_Risk,engage_Critical
1.476368183650599,-0.0013023156908419271,-0.3657094835864628,0,1,1,1,0,-0.023943708917702915,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
-0.031843635784549455,1.4668460189217212,-0.053085724047585825,0,0,1,1,0,-0.02454386850246022,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
-0.7535992315579061,0.8762227758564218,0.09233688671973762,0,0,1,0,1,-0.025290192055951264,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
-0.35141827751010213,0.0930133902330186,-0.18408368348529278,0,0,1,1,0,-0.023259230834425996,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
-1.016364388626896,-0.9347869071871607,-0.2363841638878767,0,0,1,0,1,-0.023043739519231755,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.17834296602239053,-0.5818315044385519,-0.34721520580148424,0,0,1,1,1,-0.017806488047833937,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
0.0005563018514274454,-0.14206136649704845,-0.2739439036548956,0,0,0,0,1,-0.023022889372663894,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1.6890964758698914,-1.9061127724462064,-0.5104540904738045,0,1,1,1,0,0.26957582517512346,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.5568734445079186,0.39786954443775724,-0.08005264071973713,0,0,1,0,1,-0.024134475300268642,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
-0.040959979032336384,-1.7443253123185927,-0.48578692413587593,1,0,1,1,0,0.020391975975285803,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1.5021126252774104,-0.2668266889922808,-0.3868052174015887,0,1,1,1,0,-0.02495807847129564,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1.0691705975341979,0.6396173547269907,-0.2907914440410178,0,1,1,0,0,-0.023151625815286115,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0.08006377456728972,-0.0013023156908419271,-0.2652733077362569,0,0,1,1,0,-0.023492394798719486,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
-0.031843635784549455,-0.0013023156908419271,-0.2509763398466158,0,0,1,1,1,-0.020920002458946995,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
-1.6729254206167674,-1.070064127088075,0.24856973490299994,0,0,1,0,0,-0.016926426059492662,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0.7522435610197029,-1.7386196391672921,-0.4933095074666322,0,1,1,1,0,0.00432495484018569,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
-0.949890103029594,-0.0013023156908419271,-0.01585819430029408,0,0,1,1,1,-0.021905496336319483,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1.0658337887560358,0.25467037915242524,-0.3237042574122771,0,1,1,0,1,-0.02348292457346764,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-0.031843635784549455,-0.0013023156908419271,-0.2509763398466158,0,0,1,1,0,-0.02023573223451385,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
-1.3309006136193633,0.8332681141670909,0.6178376644391662,0,0,1,1,0,-0.02630081722812356,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0.6172760249537675,-0.30715693704349134,-0.3476236580861569,0,0,1,1,1,-0.022332865277415546,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
-1.0413223906809903,-0.2800345108929189,-0.04531314611174401,0,0,1,0,0,-0.022979187371582298,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
