UsageData,BillingAmount,PaymentHistory,CustomerServiceInteractions,Complaints,PromotionsReceived,ContractType,ContractDuration,Age,Gender,Income,HouseholdSize,Month,HighUsageFlag,CostPerUnit,BilltoIncomeRatio,IsShortContractedCust,EngagementScore,Income_x_Complaints,Billing_x_ContractLength,Gender_x_Complaints,Promo_x_PaymentHistory,UsageData_squared,Age_x_Usage,ContractType_x_CSInteractions,Billing_x_Income,is_churned
880.9229703211414,100.44197663885781,1,2,0,0,1,16,18,0,57732,2,1,1,0.11401902325494087,574.7796084059274,0,2,0,1607.071626221725,0,0,776025.2796394225,15856.613465780545,2,0.0017397671459799043,0
495.9785534203096,176.1447251913149,1,1,0,2,1,12,51,0,84085,3,1,0,0.35514585051431385,477.3631450426535,0,3,0,2113.7367022957787,0,2,245994.7254529029,25294.90622443579,1,0.00209481632128196,0
311.7631909760996,145.69017110784873,1,2,0,0,0,15,21,1,51898,5,1,0,0.4673103667296555,356.221697080594,0,2,0,2185.352566617731,0,0,97196.28724759996,6547.027010498092,0,0.0028071864796595063,0
414.4127729841056,105.30521695441196,1,4,1,3,1,13,23,0,72227,3,1,0,0.2541070734768372,685.8824480772689,0,6,72227,1368.9678204073555,0,3,171737.9464123758,9531.493778634429,4,0.001457955598305532,0
244.6970276783871,52.3083189956826,1,5,2,3,0,17,41,1,37707,1,1,0,0.21376769261142414,720.8604811619399,0,6,75414,889.2414229266042,2,3,59876.635354637336,10032.57813481387,0,0.0013871942027071868,0
549.6249695472181,70.5079065132207,1,5,1,0,1,24,49,1,110765,5,1,0,0.128283666899823,1570.9585701460421,0,4,110765,1692.189756317297,1,0,302087.6071497805,26931.62350781369,5,0.000636548277569116,0
504.2480649969895,93.18395864541247,0,1,1,3,0,8,64,1,67488,4,1,0,0.1847978507284283,724.2448269106937,0,3,67488,745.4716691632998,1,0,254266.11105320815,32271.87615980733,0,0.0013807280985851395,0
935.2181080142898,2.2234358768333795,1,5,0,1,1,17,54,0,107210,4,1,1,0.0023774516957913803,48218.165910270654,0,6,0,37.79840990616745,0,1,874632.9095578277,50501.77783277165,5,2.0738878257206625e-05,0
361.973971988064,121.02464273881044,1,2,0,2,0,22,45,1,65815,5,1,0,0.33434625720216476,543.8148670435554,0,4,0,2662.5421402538295,0,2,131025.15639681576,16288.82873946288,0,0.0018388331521029908,0
493.6517678915359,10.565750562776577,1,4,0,0,1,1,27,0,82109,2,1,0,0.021403246681166676,7771.241570785535,1,4,0,10.565750562776577,0,0,243692.06794243882,13328.597733071469,4,0.00012867799979023964,0
887.4937841436865,86.75063197517836,1,5,1,2,1,12,31,0,35579,3,1,1,0.09774787556273556,410.1295770407769,0,6,35579,1041.0075837021404,0,2,787645.2168936805,27512.30730845428,5,0.0024381852719274413,0
776.9929816212058,133.48998650822082,1,5,1,2,0,7,40,0,93890,4,1,1,0.17180333627942462,703.3486365227694,0,6,93890,934.4299055575458,0,2,603718.0934886114,31079.71926484823,0,0.0014217548700963972,0
524.5409425155657,100.44197663885781,1,1,0,1,1,19,56,0,65090,4,1,0,0.19148548473101737,648.0358330066829,0,2,0,1908.3975561382983,0,1,275143.200375118,29374.292780871678,1,0.0015431008378863102,0
495.9785534203096,100.44197663885781,1,5,2,2,1,13,55,1,107029,5,1,0,0.20251274162199462,1065.5803836360772,0,5,214058,1305.7456963051516,2,2,245994.7254529029,27278.82043811703,5,0.0009384469460792097,0
77.12142565598367,45.33296294915827,1,5,0,3,0,13,45,0,77692,4,1,0,0.5878128232662021,1713.8081198692653,0,8,0,589.3285183390575,0,3,5947.714295211416,3470.4641545192653,0,0.0005834883831124847,0
696.1029556321032,10.859954581343525,1,3,1,1,1,12,58,0,56073,1,1,1,0.015601075233881222,5163.281262366293,0,3,56073,130.3194549761223,0,1,484559.32483974984,40373.971426661985,3,0.0001936718368823969,0
261.6634144805647,100.44197663885781,1,4,1,0,1,10,58,1,90962,5,1,0,0.38385945867995325,905.617382730894,0,3,90962,1004.4197663885781,1,0,68467.7424776278,15176.478039872753,4,0.00110420694830709,1
776.1413201417856,113.640804098706,1,3,1,0,0,8,64,1,73818,1,1,1,0.14641767053188984,649.5730172402093,0,2,73818,909.126432789648,1,0,602395.3488314338,49673.04448907428,0,0.001539451958150422,0
495.9785534203096,100.44197663885781,1,1,1,3,1,8,62,0,118185,5,1,0,0.20251274162199462,1176.6494841587773,0,3,118185,803.5358131108625,0,3,245994.7254529029,30750.670312059196,1,0.0008498635763868631,0
164.4172140847896,143.47528186514737,1,4,2,2,1,18,18,0,27573,1,1,0,0.872629320863918,192.1794447207701,0,4,55146,2582.5550735726524,0,2,27033.02028740354,2959.5098535262127,4,0.005203281419639783,0
661.6548769193256,84.67106647399574,1,5,0,0,1,23,53,1,70806,3,1,0,0.12796862749387627,836.2478819343324,0,5,0,1947.434528901902,0,0,437787.1761511279,35067.708476724256,5,0.0011958007891027121,0
238.3269386604392,86.06959151305537,1,4,0,1,0,12,47,0,62946,3,1,0,0.36114084289768283,731.3384308377031,0,5,0,1032.8350981566646,0,1,56799.72969125675,11201.366117040643,0,0.0013673342893713023,0
994.9406209329244,61.32349810617039,0,5,2,2,1,1,45,1,111918,5,1,1,0.06163533462797939,1825.0426583009748,1,5,223836,61.32349810617039,2,0,989906.8391823932,44772.327941981595,5,0.0005479275020878528,0
761.8442766928965,150.8759393953841,1,2,2,2,0,18,32,0,40806,3,1,1,0.19804039225748887,270.4606192579466,0,2,81612,2715.766909116914,0,2,580406.7019297227,24379.01685417269,0,0.003697305349459262,0
495.9785534203096,68.94605018759317,1,3,1,3,1,17,65,0,113964,3,1,0,0.13901014411235213,1652.944580435266,0,5,113964,1172.0828531890838,0,3,245994.7254529029,32238.605972320125,3,0.0006049756520650478,0
504.2480649969895,66.081175213236,1,3,2,1,0,4,46,0,69097,5,1,0,0.13104894158320768,1045.6381832955044,1,2,138194,264.324700852944,0,1,254266.11105320815,23195.410989861517,0,0.0009563399116216966,0
495.9785534203096,100.44197663885781,1,4,1,3,1,15,56,1,106384,5,1,0,0.20251274162199462,1059.1587656872478,0,6,106384,1506.6296495828672,1,3,245994.7254529029,27774.798991537336,4,0.000944136641809069,0
510.1225994331677,102.83523022746223,1,4,0,2,0,16,56,0,53062,4,1,0,0.20158924607874565,515.9904818867196,0,6,0,1645.3636836393957,0,2,260225.06645245207,28566.86556825739,0,0.0019379837217545603,0
537.5805189395847,0.9534646108739776,0,0,0,1,0,10,38,0,31715,1,1,0,0.0017736219548185141,33262.90209232723,0,1,0,9.534646108739777,0,0,288992.8143433532,20428.05971970422,0,3.0062574437948595e-05,0
522.986695032889,96.75451885817378,1,2,1,0,0,22,50,0,48102,4,1,0,0.18500378647699478,497.1550741780818,0,1,48102,2128.599414879823,0,0,273515.083181424,26149.33475164445,0,0.0020114030072588772,0
495.9785534203096,25.119406220785436,0,3,0,3,1,1,34,1,110037,4,1,0,0.050646154047508524,4380.55736799018,1,6,0,25.119406220785436,0,0,245994.7254529029,16863.270816290526,3,0.0002282793782219364,0
